red,green,blue
0,0,0
47,34,0
252,36,20
253,35,22
254,35,21
254,35,22
255,35,21
256,36,22
None,None,None
0,0,0
None,None,None
0,0,0
227,35,23
230,29,18
204,22,15
115,10,8
116,12,8
154,16,10
137,14,8
160,17,12
1,1,0
None,None,None
0,0,0
36,19,26
10,6,6
8,5,6
6,4,4
6,3,6
34,18,25
23,13,19
21,12,17
24,13,19
26,15,20
32,18,24
27,15,20
34,18,25
33,17,24
45,24,33
0,0,0
None,None,None
0,0,0
227,119,12
None,None,None
None,None,None
0,0,0
250,202,18
None,None,None
0,0,0
287,170,16
306,193,17
297,183,16
301,188,16
302,187,17
299,185,17
300,185,19
297,183,17
300,185,18
293,178,16
293,176,16
290,173,15
289,174,16
292,176,17
292,175,17
288,171,17
0,1,1
9,36,0
22,73,22
20,71,21
None,None,None
0,0,0
17,60,18
14,51,14
17,60,18
None,None,None
0,0,0
None,None,None
8,22,0
None,None,None
0,0,0
None,None,None
4,21,72
11,42,12
11,43,12
11,44,11
10,41,11
12,46,13
11,47,11
10,44,11
10,45,12
10,43,12
9,40,10
14,48,14
13,48,15
13,49,14
14,51,14
None,None,None
0,0,0
10,17,21
10,18,23
11,18,24
10,17,21
13,21,27
16,23,32
17,23,32
13,24,31
13,21,28
12,19,24
13,20,25
14,22,28
15,22,30
15,23,31
19,29,38
0,1,0
0,0,0
0,0,0
37,174,134
0,0,0
25,40,49
0,0,0
26,49,58
None,None,None
0,0,0
0,0,0
195,28,18
219,23,16
220,23,16
213,23,16
220,24,17
216,22,17
25,44,54
27,46,54
27,47,56
27,47,56
26,45,55
0,0,0
307,198,18
305,193,17
303,189,17
307,201,18
0,0,0
0,0,0
None,None,None
0,0,0
None,None,None
8,32,0
30,133,39
28,131,37
29,132,38
